t	FPR	FNR	TRP	TNR
1	100	0	100	0
1.01	100	0	100	0
1.02	100	0	100	0
1.03	100	0	100	0
1.04	100	0	100	0
1.05	100	0	100	0
1.06	100	0	100	0
1.07	100	0	100	0
1.08	100	0	100	0
1.09	100	0	100	0
1.1	100	0	100	0
1.11	100	0	100	0
1.12	100	0	100	0
1.13	100	0	100	0
1.14	100	0	100	0
1.15	100	0	100	0
1.16	100	0	100	0
1.17	100	0	100	0
1.18	100	0	100	0
1.19	100	0	100	0
1.2	100	0	100	0
1.21	100	0	100	0
1.22	100	0	100	0
1.23	100	0	100	0
1.24	100	0	100	0
1.25	100	0	100	0
1.26	100	0	100	0
1.27	100	0	100	0
1.28	100	0	100	0
1.29	100	0	100	0
1.3	100	0	100	0
1.31	100	0	100	0
1.32	100	0	100	0
1.33	100	0	100	0
1.34	100	0	100	0
1.35	100	0	100	0
1.36	100	0	100	0
1.37	100	0	100	0
1.38	100	0	100	0
1.39	100	0	100	0
1.4	100	0	100	0
1.41	100	0	100	0
1.42	100	0	100	0
1.43	100	0	100	0
1.44	100	0	100	0
1.45	100	0	100	0
1.46	100	0	100	0
1.47	100	0	100	0
1.48	100	0	100	0
1.49	100	0	100	0
1.5	100	0	100	0
1.51	100	0	100	0
1.52	100	0	100	0
1.53	100	0	100	0
1.54	100	0	100	0
1.55	100	0	100	0
1.56	100	0	100	0
1.57	100	0	100	0
1.58	100	0	100	0
1.59	100	0	100	0
1.6	100	0	100	0
1.61	100	0	100	0
1.62	100	0	100	0
1.63	100	0	100	0
1.64	100	0	100	0
1.65	99.8	0	100	0.2
1.66	100	0	100	0
1.67	100	0	100	0
1.68	100	0	100	0
1.69	100	0	100	0
1.7	99.8	0	100	0.2
1.71	99.8	0	100	0.2
1.72	99.8	0	100	0.2
1.73	99.8	0	100	0.2
1.74	100	0	100	0
1.75	100	0	100	0
1.76	100	0	100	0
1.77	99.8	0	100	0.2
1.78	99.8	0	100	0.2
1.79	99.8	0	100	0.2
1.8	99.6	0	100	0.4
1.81	99.6	0	100	0.4
1.82	99.8	0	100	0.2
1.83	100	0	100	0
1.84	99.8	0	100	0.2
1.85	99.8	0	100	0.2
1.86	99.6	0	100	0.4
1.87	99.6	0	100	0.4
1.88	99	0	100	1
1.89	99.4	0	100	0.6
1.9	99	0	100	1
1.91	100	0	100	0
1.92	99.6	0	100	0.4
1.93	100	0	100	0
1.94	99.4	0	100	0.6
1.95	99.6	0	100	0.4
1.96	99.4	0	100	0.6
1.97	99.6	0	100	0.4
1.98	98.6	0	100	1.4
1.99	98	0	100	2
2	99.2	0	100	0.8
2.01	99.4	0	100	0.6
2.02	99.4	0	100	0.6
2.03	98.8	0	100	1.2
2.04	99.2	0	100	0.8
2.05	99.4	0	100	0.6
2.06	98.8	0	100	1.2
2.07	99.2	0	100	0.8
2.08	98.8	0	100	1.2
2.09	99	0	100	1
